ID,BIO,BIOCAT,CONIFTYP,TCB,TCG,TCW,NLCD
1,84,B,0,2598.07,2081.14,-594.07,41
2,3,A,0,2677.69,1956.92,-865.19,41
3,50,A,1,2172.94,1749.81,-428.63,42
4,24,A,0,2614.12,1749.69,-858.21,41
5,88,B,0,2498.13,1998.5,-483.27,42
6,60,A,0,2450.84,1956.42,-592.99,41
7,33,A,1,1675.12,1062.94,-432.45,90
8,43,A,0,2267.34,1478.13,-821,41
9,52,A,0,2370,1288.71,-953.11,41
10,17,A,1,2116.92,1172.14,-516.48,90
11,1,A,1,2670.35,1211.29,-1034.35,90
12,59,A,1,2028.32,1231.92,-633.29,90
13,104,B,0,2310.16,1853.61,-549.5,41
14,65,A,0,2416.77,1850.91,-614.59,41
15,64,A,0,2521.82,2020.78,-655.81,41
16,67,A,0,2195.82,1376.34,-737.45,41
17,76,A,0,2730.57,2201.55,-652.14,41
18,76,A,0,2421.7,1791.33,-774.72,41
19,23,A,1,2751.02,1989.86,-719.68,42
20,11,A,0,2715.79,1952.57,-874.48,41
21,102,B,0,2357.93,1941.67,-540.36,41
22,93,B,1,1939.26,1498.81,-366.69,42
23,85,B,0,2114.97,1602.33,-477.49,42
24,85,B,0,2417.65,1581.79,-808.82,41
25,52,A,1,1440.94,1010.05,-327.02,42
26,14,A,0,2754.36,1775.8,-972.73,71
27,131,B,0,2061.4,1400.2,-568.66,42
28,116,B,0,2240.41,1835.61,-479.5,42
29,118,B,0,2262.72,1562.52,-667.04,41
30,48,A,1,2054.47,1506.76,-488,42
31,158,B,0,2864.13,2185.76,-847.31,41
32,17,A,1,2283.2,1302.37,-987.49,41
33,42,A,1,2874.48,1721.43,-1180.27,41
34,102,B,0,2349.1,1513.97,-765.67,42
35,133,B,0,2465.6,1525.87,-838.26,41
36,164,C,0,2377.93,1558.02,-751.16,41
37,88,B,0,2479.62,1822.03,-681.69,41
38,52,A,1,1828.36,1362.67,-463.02,42
39,93,B,0,2574.28,1760.47,-734.81,41
40,15,A,0,2700.37,1498.68,-1042.07,41
41,16,A,1,2103.48,1296.7,-611.7,41
42,62,A,1,1448.66,1033.15,-304.02,42
43,1,A,1,1880,917.38,-645.58,90
44,75,A,1,1973.19,1631.51,-400.47,42
45,80,B,1,1813.94,1151.09,-556.25,42
46,121,B,0,2435.1,1676.15,-744.3,41
47,126,B,0,2355.84,1726.9,-646.98,90
48,127,B,0,2373.28,1761.52,-642.43,41
49,101,B,0,2083.75,1324.9,-635.01,90
50,101,B,1,1637.11,1044.35,-367.59,42
51,45,A,1,2051.43,1023.42,-802.73,90
52,17,A,1,1969.13,1129.67,-578.88,90
53,16,A,0,2525.66,1899.57,-667.91,41
54,68,A,0,2537.74,2028.67,-754.04,95
55,9,A,0,2634.75,1441.33,-1161.19,42
56,57,A,1,1860.16,1116.47,-493.38,42
57,22,A,1,2170.15,1352.17,-699.12,90
58,74,A,0,2161.86,1416.04,-702.28,42
59,38,A,0,2553.63,2004.57,-650.78,42
60,62,A,0,2356.29,1770.38,-622.62,41
61,42,A,1,2503.16,1866.26,-702.12,41
62,0,A,1,3389.22,1800.27,-1372.17,71
63,72,A,0,2295.44,1645.36,-669.07,90
64,11,A,1,1988.08,1115.12,-564.82,90
65,23,A,0,2714.24,1681.05,-982.03,41
66,133,B,1,1939.98,1412.32,-478.68,42
67,14,A,0,2518.8,1595.92,-865.75,41
68,134,B,0,2416.21,1831.84,-521.85,41
69,15,A,1,2186.61,1275.46,-696.34,90
70,55,A,0,2412.26,1629.31,-804.23,41
71,25,A,0,2692.33,1833.06,-813.86,52
72,136,B,0,2704.49,1933.58,-769.69,41
73,41,A,0,2966.03,2252.77,-873.96,41
74,10,A,1,2307.43,1418.2,-646.6,90
75,22,A,1,2541.04,1900.84,-711.77,90
76,48,A,0,2349.87,1637.5,-740.41,41
77,89,B,0,2218.53,1703.17,-516.23,42
78,24,A,1,2242.5,1390.72,-848.56,42
79,49,A,1,2142.01,1524.85,-596.27,42
80,83,B,1,1885.87,1241.93,-550.1,90
81,77,A,1,1902.72,1258.76,-572.2,42
82,59,A,0,2637.97,1949.4,-699.29,41
83,56,A,0,2472.34,1681.43,-804.26,41
84,95,B,1,1517.36,1035.91,-307.75,41
85,20,A,0,2885.17,2033.97,-886.55,41
86,4,A,0,2768.36,1924.91,-825.3,95
87,106,B,1,1745.13,1199.03,-479.98,42
88,99,B,1,1929.47,1242.06,-512.98,90
89,1,A,1,2795.17,1313.32,-1268.63,95
90,44,A,0,2293.46,1365.08,-880.62,42
91,84,B,1,1883.08,1203.33,-661.84,42
92,44,A,0,2764.4,1973.22,-726.15,41
93,10,A,1,2141.36,1263.31,-631.4,42
94,81,B,0,2240.63,1532,-617.37,42
95,54,A,0,2276.46,1610.65,-588.79,90
96,128,B,0,2396.22,1795.73,-640.07,41
97,43,A,1,1339.22,905.21,-268.38,90
98,36,A,1,1825.39,1334.69,-369.75,42
99,122,B,0,2433.78,1840.85,-701.17,41
100,75,A,1,1961.28,1318.64,-668.68,42
101,69,A,0,2361.75,1753.31,-617.4,42
102,20,A,0,2475.54,1816.93,-681.89,41
103,22,A,0,2207.96,1417.23,-696.11,42
104,74,A,0,2963.25,2264.3,-832.06,41
105,71,A,0,2305.14,1624.16,-607.27,41
106,153,B,0,2237.62,1279.58,-814.07,42
107,72,A,1,1653.8,1108.21,-290.11,90
108,6,A,0,3039.7,2041.61,-1007.6,41
109,103,B,1,2150.16,1545.93,-546.8,42
110,93,B,1,1722.99,1281.43,-266.8,42
111,161,C,0,2397.85,1802.74,-654.22,41
112,0,A,0,3260.23,2497.68,-860.92,41
113,6,A,1,2097.04,1077.17,-847.36,41
114,65,A,0,2732.51,1931.66,-714.53,41
115,43,A,1,1345.67,773.32,-357.56,90
116,84,B,0,2597.43,2117.93,-618.87,41
117,47,A,1,2549.75,1904.78,-661.56,90
118,101,B,0,2278.48,1483.84,-733.41,41
119,14,A,0,2636.22,1752.82,-930.45,41
120,117,B,0,2643.09,2040.57,-598.83,41
121,7,A,1,2546.11,1269.57,-824,90
122,195,C,0,2380.68,1768.9,-666.88,41
123,18,A,1,2752.16,1603.87,-916.97,95
124,58,A,0,1556.26,1128.38,-339.26,42
125,19,A,1,1710.93,1058.58,-459.56,41
126,106,B,0,2650.05,2044.1,-798.27,41
127,0,A,0,3306.6,503.8,-2179.63,42
128,92,B,0,2530.54,2021.13,-590.92,41
129,65,A,1,2371.47,1873.43,-466.79,42
130,34,A,1,1972.95,1172.66,-597.18,52
131,51,A,1,2493.66,1879.97,-507.13,42
132,20,A,1,1928.84,1144.98,-463.14,42
133,84,B,0,3394.82,2760.1,-792.64,41
134,11,A,1,2116.47,1217.13,-511.89,90
135,79,A,0,1641.79,1059.57,-468.35,42
136,140,B,0,2576.29,2163.28,-606.46,42
137,55,A,1,1843.29,1233.41,-533.97,90
138,92,B,0,2299.74,1729.21,-517.11,41
139,55,A,0,2799.71,2237.28,-587.65,41
140,19,A,1,2516.47,1652.39,-656.71,41
141,59,A,0,1899.02,1269.9,-534.79,42
142,99,B,1,1672.2,1148.69,-380.42,42
143,99,B,1,2072.38,1397.22,-648.86,90
144,16,A,1,2404.53,1243.87,-1043.84,52
145,16,A,0,2856.14,1825.35,-936.85,41
146,51,A,1,2142.78,1460.32,-613.4,90
147,22,A,0,2417.51,1156.05,-1129.15,41
